epoch,epoch_val_accuracy,epoch_val_loss,step,train_loss,val_accuracy,val_loss
181,0.53125,1.3190064430236816,2001,,0.53125,1.3190064430236816
182,0.53125,1.2706314325332642,2012,,0.53125,1.2706314325332642
183,0.5,1.2550945281982422,2023,,0.5,1.2550945281982422
184,0.4296875,1.2813950777053833,2034,,0.4296875,1.2813950777053833
185,0.4765625,1.260172724723816,2045,,0.4765625,1.260172724723816
186,,,2049,0.8252164125442505,,
186,0.53125,1.1780579090118408,2056,,0.53125,1.1780579090118408
187,0.5,1.187038779258728,2067,,0.5,1.187038779258728
188,0.5546875,1.1763873100280762,2078,,0.5546875,1.1763873100280762
189,0.5,1.2558919191360474,2089,,0.5,1.2558919191360474
190,,,2099,0.7480217814445496,,
190,0.6015625,1.117967963218689,2100,,0.6015625,1.117967963218689
191,0.515625,1.3449681997299194,2111,,0.515625,1.3449681997299194
192,0.4375,1.2823435068130493,2122,,0.4375,1.2823435068130493
193,0.46875,1.301245093345642,2133,,0.46875,1.301245093345642
194,0.40625,1.3066515922546387,2144,,0.40625,1.3066515922546387
195,,,2149,0.7762708067893982,,
195,0.6015625,1.1834750175476074,2155,,0.6015625,1.1834750175476074
196,0.59375,1.1437885761260986,2166,,0.59375,1.1437885761260986
197,0.6171875,1.1562936305999756,2177,,0.6171875,1.1562936305999756
198,0.3671875,1.3137269020080566,2188,,0.3671875,1.3137269020080566
199,,,2199,0.7350725531578064,,
199,0.6171875,1.0638896226882935,2199,,0.6171875,1.0638896226882935
200,0.5546875,1.1919468641281128,2210,,0.5546875,1.1919468641281128
201,0.4921875,1.3384082317352295,2221,,0.4921875,1.3384082317352295
202,0.40625,1.2922286987304688,2232,,0.40625,1.2922286987304688
203,0.4140625,1.276933193206787,2243,,0.4140625,1.276933193206787
204,,,2249,0.7818036079406738,,
204,0.484375,1.297902226448059,2254,,0.484375,1.297902226448059
205,0.484375,1.196420431137085,2265,,0.484375,1.196420431137085
206,0.609375,1.1184701919555664,2276,,0.609375,1.1184701919555664
207,0.640625,1.1371536254882812,2287,,0.640625,1.1371536254882812
208,0.609375,1.1143856048583984,2298,,0.609375,1.1143856048583984
209,,,2299,0.7348343729972839,,
209,0.6328125,1.0966856479644775,2309,,0.6328125,1.0966856479644775
210,0.6171875,1.1000319719314575,2320,,0.6171875,1.1000319719314575
211,0.421875,1.363793969154358,2331,,0.421875,1.363793969154358
212,0.4296875,1.3426564931869507,2342,,0.4296875,1.3426564931869507
213,,,2349,0.8577934503555298,,
213,0.53125,1.2607839107513428,2353,,0.53125,1.2607839107513428
214,0.546875,1.2412484884262085,2364,,0.546875,1.2412484884262085
215,0.5625,1.1870622634887695,2375,,0.5625,1.1870622634887695
216,0.5234375,1.1793195009231567,2386,,0.5234375,1.1793195009231567
217,0.6015625,1.135349154472351,2397,,0.6015625,1.135349154472351
218,,,2399,0.7774285674095154,,
218,0.6484375,1.129757046699524,2408,,0.6484375,1.129757046699524
219,0.453125,1.2656642198562622,2419,,0.453125,1.2656642198562622
220,0.6484375,1.0882128477096558,2430,,0.6484375,1.0882128477096558
221,0.46875,1.3591898679733276,2441,,0.46875,1.3591898679733276
222,,,2449,0.7883051633834839,,
222,0.484375,1.242326021194458,2452,,0.484375,1.242326021194458
223,0.5078125,1.259853482246399,2463,,0.5078125,1.259853482246399
